"SK_ID_PREV" "AMT_BALANCE_INTERCEPT" "AMT_BALANCE_TREND"
"47" 1000566 0 0
"48" 1000577 8212.24928571428 -1233.92892857143
"49" 1000578 101844.800526316 -7392.54055263158
"50" 1000633 14178.15 41906.1015
"51" 1000635 0 0
"52" 1000638 -6207.88990909081 16572.2408181818
"53" 1000651 0 0
"54" 1000661 1331.46 -112.073736263736
"55" 1000663 0 0
"56" 1000696 0 0
"57" 1000698 230789.423571428 -14023.6660714286
"58" 1000704 0 0
"59" 1000724 87496.1245945946 -1203.57422475107
"60" 1000727 0 0
"61" 1000757 154171.77897463 -811.845110993658
"62" 1000758 0 0
"63" 1000761 0 0
"64" 1000810 -13415.7362727272 32558.3946818182
"65" 1000816 14675.2371818183 8100.70486363635
"66" 1000826 33541.8919285714 -2268.55829220779
"67" 1000838 46636.8802170582 -277.040014811032
"68" 1000839 157164.104561798 -1337.66794641314
"69" 1000840 75297.4664309211 -918.134816874662
"70" 1000841 158856.185242475 -2254.16768988025
"71" 1000842 161815.869725644 -1297.43379801232
"72" 1000843 106804.258011921 -1303.53818350691
"73" 1000844 70839.8965714286 -990.54164548495
"74" 1000847 61218.3200981013 -1100.96501476793
"75" 1000848 2188.71709722222 -39.5693058943089
"76" 1000849 24640.8590497193 -414.004327932492
"77" 1000850 85755.2592276423 1987.39064452934
"78" 1000851 98071.3098551447 -87.4306097699761
"79" 1000852 -4685.78322024627 1482.29521703854
"80" 1000853 81968.8483333333 -923.921896365952
"81" 1000854 11512.2418433544 -200.688635021097
"82" 1000855 116069.051089888 -1688.12839757995
"83" 1000856 7963.36463736263 -129.450088867654
"84" 1000857 103754.900731497 -1706.67168527893
"85" 1000858 60132.5188869863 -1090.03822241762
"86" 1000859 171045.920152778 -2681.75200914634
"87" 1000860 96976.5064344544 -1080.64841093812
"88" 1000865 0 0
"89" 1000895 172129.714993421 -184.390280147858
"90" 1000907 0 0
"91" 1000911 0 0
"92" 1000913 0 0
"93" 1000922 0 0
"94" 1000923 122878.041818182 -11521.7156643357
"95" 1000926 184531.190882353 2867.49464396285
"96" 1000927 0 0
"97" 1000933 -82403.8056818182 40415.354527972
"98" 1000945 -70774.6367647059 13658.5791176471
"99" 1000971 -33894.6907142858 4935.84658866995
"100" 1000972 0 0
"101" 1000989 0 0
"102" 1000995 94265.5324390244 -3223.95820557491
"103" 1000997 0 0
"104" 1000999 0 0
"105" 1001016 233049.222352941 -723.287089783282
"106" 1001017 0 0
"107" 1001032 47683.0023956044 -196.806715957955
"108" 1001040 67287.0495789474 -916.33603618421
"109" 1001045 125123.978571429 27665.5869642857
"110" 1001051 346949.703 -30042.8869090909
"111" 1001068 0 0
"112" 1001069 117182.671541096 1068.28332562014
"113" 1001105 46301.5435460527 -668.614158166034
"114" 1001110 53309.2064035568 -490.424142129346
"115" 1001125 41258.4844166667 -721.744172764228
"116" 1001126 -47074.645 15254.775
"117" 1001132 35001.3467234792 -602.831934322656
"118" 1001145 -23353.01875 60629.15175
"119" 1001184 150786.310008403 -2282.26505628298
"120" 1001206 29779.8609177632 -313.277609129137
"121" 1001220 0 0
"122" 1001239 80771.9078571429 -1018.39210714286
"123" 1001240 303756.441 -12904.8875454545
"124" 1001254 498.1565 -3.56136486486486
"125" 1001260 0 0
"126" 1001295 147899.470585666 -1484.04620408735
"127" 1001299 -101750.778837209 9403.40102536998
"128" 1001305 262608.8274 -13194.1071692308
"129" 1001308 23589.9514031621 7302.36223814229
"130" 1001320 0 NA
"131" 1001332 11759.6693382353 18211.4883088235
"132" 1001335 726917.756727273 4013.13190909092
"133" 1001365 43820.2672302632 -595.216370082746
"134" 1001367 109554.792391304 -6140.20449130435
"135" 1001368 505421.146978022 25918.1067362637
"136" 1001383 87536.72115 144.75908076923
"137" 1001385 0 0
"138" 1001391 0 0
"139" 1001398 153646.013571428 35244.0016071429
"140" 1001409 0 0
"141" 1001434 0 0
"142" 1001441 1158.59362500001 10447.4748308823
"143" 1001446 22002.6547402597 1604.45998306042
"144" 1001479 118698.145861142 -1631.69909798432
"145" 1001486 253746.769728261 4033.59112173912
"146" 1001492 297984.71115 -10564.7641961538
"147" 1001517 0 0
"148" 1001518 174722.765086956 -115.185771507863
"149" 1001521 1429.47968067227 93.9483907563025
"150" 1001526 33162.4247884615 -802.083562851783
"151" 1001530 0 0
"152" 1001537 -48932.0236363636 16349.0894055944
"153" 1001543 0 0
"154" 1001545 0 0
"155" 1001548 0 0
"156" 1001549 -19283.7350675676 5180.66606330014
"157" 1001550 59342.7526363636 1021.68940909091
"158" 1001572 176977.757368421 1491.36963157895
"159" 1001581 0 0
"160" 1001582 0 0
"161" 1001592 -37255.06875 21536.36775
"162" 1001594 12718.7838617886 -225.161137721618
"163" 1001606 0 0
"164" 1001631 0 0
"165" 1001633 0 0
"166" 1001656 -17336.85525 11260.7871617647
"167" 1001661 147930.520445344 602.166170040484
"168" 1001664 0 0
"169" 1001668 0 0
"170" 1001696 44674.8019879518 1265.6219028045
"171" 1001705 125564.887549451 -1599.50289703775
"172" 1001713 0 NA
"173" 1001735 77099.988174692 -1063.09102008679
"174" 1001739 208709.661888158 -1571.69041908573
"175" 1001758 13175.5966005472 -210.833637435728
"176" 1001768 53198.01 -3652.90058823529
"177" 1001785 25006.0115723684 -380.40914324471
"178" 1001824 0 0
"179" 1001828 41553.2431985294 -2158.82261029412
"180" 1001858 -20224.5939473684 3688.20734210526
"181" 1001865 0 0
"182" 1001874 -161046.245769231 68597.2132417582
"183" 1001919 0 0
"184" 1001932 0 0
"185" 1001960 105544.263880179 -1556.87829465286
"186" 1002005 -21207.5386363636 6557.32998251748
"187" 1002006 -53017.7882142857 19567.3344642857
"188" 1002008 2493.32676470588 350.472445820434
"189" 1002015 77542.7622972973 1924.72058321479
"190" 1002016 -51053.9657142857 43942.0323214286
"191" 1002017 44320.5 NA
"192" 1002058 43865.745 72684.09
"193" 1002071 25172.1494816735 -489.062730322103
"194" 1002125 59 -4.6578947368421
"195" 1002158 48430.3720588235 3443.63215170278
"196" 1002191 62888.961 6989.53114285714
"197" 1002195 49920.08625 19607.84625
"198" 1002196 97984.3985064935 -5939.85160926031
"199" 1002197 75146.6414039408 14181.1734236453
"200" 1002199 279500.851985294 -18982.8999264706
"201" 1002225 0 0
"202" 1002236 111178.07 3544.767
"203" 1002240 191616.857678571 -1062.50142857142
"204" 1002252 0 0
"205" 1002254 -20206.1676315789 4152.45268421053
"206" 1002269 0 0
"207" 1002299 0 0
"208" 1002320 10875.2060549515 -173.541549788002
"209" 1002334 -22331.796 51177.0767142857
"210" 1002335 0 0
"211" 1002336 0 0
"212" 1002338 38519.9928947368 -1677.573
"213" 1002340 -21868.59375 16175.8875
"214" 1002363 79758.0053605015 -1100.10180202353
"215" 1002399 14949.3292083333 -79.8965254065041
"216" 1002428 160829.862637147 1456.30256714276
"217" 1002432 25001.367 21635.2298181818
"218" 1002435 314260.876557692 -9684.11081988743
"219" 1002441 9047.21400000001 9297.378
"220" 1002464 106605.771078947 -1559.15811502984
"221" 1002478 5706.18818181822 13786.6561363636
"222" 1002479 -4193.69365384612 13066.041510989
"223" 1002492 372.38961038961 -23.9864483342744
"224" 1002496 24794.64875 3016.19025
"225" 1002503 41684.2873223685 -616.715688992133
"226" 1002522 200791.4465477 -2541.5111255283
"227" 1002585 7975.45964802632 -110.884793000543
"228" 1002586 126984.662881579 -1352.67554910472
"229" 1002612 22173.0967916667 -395.730084349593
"230" 1002617 69982.2786371238 -1039.67422267774
"231" 1002648 11095.7067857143 -558.986785714286
"232" 1002655 0 0
"233" 1002659 0 0
"234" 1002660 0 0
"235" 1002662 0 0
"236" 1002664 0 0
"237" 1002706 41056.5392385218 -608.891794442889
"238" 1002722 0 NA
"239" 1002769 110908.815107503 -1033.62336408175
"240" 1002825 47490.7637171053 -100.183958728975
"241" 1002871 60046.1785843374 -932.130857446593
"242" 1002873 0 0
"243" 1002887 0 0
"244" 1002902 0 0
"245" 1002928 149232.657960806 -1697.72819764838
"246" 1002949 401338.036764706 -28320.2543962848
"247" 1002951 0 0
"248" 1002957 43656.7596428571 -5460.20839285714
"249" 1002969 0 0
"250" 1002973 286284.019909091 -24784.5505909091
"251" 1002974 0 0
"252" 1002978 104091.289772727 1629.10544466403
"253" 1003005 99823.1833455882 -1344.1412867647
"254" 1003010 6374.66980645161 -260.100653225806
"255" 1003015 0 0
"256" 1003020 125347.512857143 6699.21964285715
"257" 1003037 -13150.5897413793 1486.96836206897
"258" 1003038 0 0
"259" 1003043 101899.357279412 9162.86625
"260" 1003047 42035.3277272727 9338.42265734266
"261" 1003049 0 0
"262" 1003059 0 0
"263" 1003063 0 0
"264" 1003083 35253.16 12779.163
"265" 1003088 0 0
"266" 1003097 11559.9664285714 13896.1494642857
"267" 1003104 90373.9733571429 2694.29475974026
"268" 1003108 43245.19875 207.110250000001
"269" 1003117 106723.091842105 -6621.75118421052
"270" 1003146 0 0
"271" 1003150 118439.129680851 -1608.1927269037
"272" 1003182 0 0
"273" 1003184 0 0
"274" 1003198 185579.913752563 -2852.30497134445
"275" 1003209 96801.8662087912 -7399.5124945055
"276" 1003255 0 0
"277" 1003276 -8.19473684210528 0.311618285404232
"278" 1003277 24166.3953157895 -358.682664371948
"279" 1003297 -4593.58096153846 991.200412087912
"280" 1003298 0 0
"281" 1003301 0 0
"282" 1003307 0 0
"283" 1003308 0 0
"284" 1003317 0 0
"285" 1003319 64403.093 -632.942478260869
"286" 1003328 0 0
"287" 1003353 -35195.805 83432.07
"288" 1003360 133886.677766798 -4879.31994071146
"289" 1003366 -68788.2321818181 22247.8555909091
"290" 1003377 33110.8675855263 -505.169260784048
"291" 1003389 0 0
"292" 1003403 2787.20573684209 9670.5087631579
"293" 1003406 -52344.0825652174 4186.68170952821
"294" 1003414 0 0
"295" 1003422 -21536.235 21536.235
"296" 1003451 29307.92 2443.839
"297" 1003472 0 0
"298" 1003474 589.89625 -53.93925
"299" 1003497 549.094263157847 11797.2388082707
"300" 1003512 140575.249285714 9033.29742857143
"301" 1003513 7462.45199999999 5238.76609090909
"302" 1003519 -11201.5325 10877.7705
"303" 1003524 125405.21925 -8007.32494852941
"304" 1003542 85732.2964285715 -1705.3425
"305" 1003543 28070.292 2312.51427272727
"306" 1003545 66342.2105106383 -978.61496787514
"307" 1003552 0 0
"308" 1003601 0 0
"309" 1003606 44751.8336052632 -646.728705134292
"310" 1003621 0 0
"311" 1003626 0 0
"312" 1003634 0 0
"313" 1003640 25119.4135361842 -374.551983349159
"314" 1003652 39785.3275263158 -575.445371032284
"315" 1003653 40971.2931019737 677.610316196419
"316" 1003656 74495.377381579 -834.304375779979
"317" 1003680 219726.606365132 -2807.83207711612
"318" 1003702 0 0
"319" 1003710 -8881.09199999999 13906.242
"320" 1003711 10526.1165584416 24062.6999830604
"321" 1003714 0 0
"322" 1003716 0 0
"323" 1003725 59086.8906435138 -860.787137895812
"324" 1003727 114236.837566845 -635.703373567607
"325" 1003736 -118.214181818182 44.3303181818182
"326" 1003737 106.238235294118 -1.67744582043344
"327" 1003754 87643.670649492 -1086.96838534107
"328" 1003761 2089.54636363636 1468.99479020979
"329" 1003763 -50088.5678571429 47611.6376785714
"330" 1003767 31088.0110909091 -3780.47904545454
"331" 1003775 33433.8798214286 2269.44642857143
"332" 1003787 45471.1165397536 -477.365233832587
"333" 1003791 0 0
"334" 1003802 157568.622531348 -2358.84634901906
"335" 1003810 16574.6825526316 6688.00637593985
"336" 1003818 98192.366753762 -1550.55812104345
"337" 1003821 0 0
"338" 1003828 0 0
"339" 1003855 32502.6208568647 -596.603671738072
"340" 1003861 0 0
"341" 1003868 12506.1118589025 -193.258516797312
"342" 1003869 27321.7767828948 -211.465130188552
"343" 1003876 40266.5322477694 -622.892668822021
"344" 1003896 0 0
"345" 1003898 207580.080535714 8153.44821428572
"346" 1003913 2529.35088344124 3981.48799953747
"347" 1003915 0 0
"348" 1003918 50227.0584545455 22998.9215454545
"349" 1003966 12733.1214242685 -12.3007730079983
"350" 1004001 119684.0475 -27524.1285
"351" 1004005 0 0
"352" 1004006 0 0
"353" 1004009 114591.669 11551.9448181818
"354" 1004021 188372.966076923 -2510.20520138557
"355" 1004024 0 0
"356" 1004056 133727.244837398 -1699.93599079244
"357" 1004057 -10270.4078571429 36947.9041071429
"358" 1004058 37464.8994117647 -2712.70309597523
"359" 1004061 0 0
"360" 1004066 3210.22004347829 9002.87453561517
"361" 1004069 337610.192727273 -27317.0618181818
"362" 1004077 2187.34652406417 -86.7994652406417
"363" 1004116 28899.5259177632 -431.153688381715
"364" 1004145 0 0
"365" 1004150 3384.13009090912 13995.2851363636
"366" 1004181 206487.937519737 -2033.05561896365
"367" 1004187 13295.23875 19060.5975
"368" 1004188 183952.761428571 2766.87321428571
"369" 1004195 15629.1603483146 -143.584315347574
"370" 1004196 -6844.27500000002 13169.1755454545
"371" 1004222 46206.2968286674 58.5265792273236
"372" 1004224 164608.175964236 -1570.15955380323
"373" 1004263 148557.881520247 -1910.01019549904
"374" 1004270 125116.904990132 -923.320186652199
"375" 1004280 59668.695444079 -886.870418305752
"376" 1004287 0 0
"377" 1004288 79973.0434285714 -6553.49142857143
"378" 1004289 0 0
"379" 1004294 0 0
"380" 1004303 4929.72428571426 36951.5394642857
"381" 1004308 0 0
"382" 1004322 66101.115 3490.25590909091
"383" 1004323 8659.3955882353 365.327832817337
"384" 1004327 0 0
"385" 1004335 4148.89676470588 5.57647058823535
"386" 1004380 0 0
"387" 1004383 229237.605 -16742.2284926471
"388" 1004387 43778.4229638158 -647.233192552904
"389" 1004389 32838.1961402821 -522.877901007361
"390" 1004399 40089.0218181818 296.961451048951
"391" 1004433 72226.5713821138 -1069.73791605446
"392" 1004434 -9852.51214285713 5149.58839285714
"393" 1004467 43784.7961363636 -1884.29378342246
"394" 1004476 -2192.89295454543 5173.69641608391
"395" 1004490 643736.298 928.561645161292
"396" 1004492 330072.236013289 635.34197296889
"397" 1004495 7494.63674216034 7745.75400534803
"398" 1004521 67135.6876776316 -1002.17931745117
"399" 1004522 -23913.8560361843 3301.03959288524
"400" 1004526 47263.1172857143 -616.872535714286
"401" 1004548 0 0
"402" 1004550 0 0
"403" 1004553 0 0
"404" 1004567 0 0
"405" 1004578 33606.574744186 -568.779964715317
"406" 1004583 59835.2957292707 -1105.90933199712
"407" 1004614 -98081.7150000001 48160.035
"408" 1004630 53422.8926785714 12597.7248214286
"409" 1004647 113572.344216436 -680.224440839666
"410" 1004658 41413.0095493421 -620.019787744168
"411" 1004695 35356.5966712423 -551.516844814508
"412" 1004699 30324.1219565218 -1751.19045652174
"413" 1004706 0 0
"414" 1004732 81960.0880953948 1900.25765202794
"415" 1004765 106863.159325868 -1493.66262849944
"416" 1004766 48487.6662732363 -693.762819288913
"417" 1004771 23847.4809272116 -359.149864711646
"418" 1004799 -58172.1709090908 31370.6087937063
"419" 1004809 28204.5909375 -421.780679768042
"420" 1004826 107562.962192862 -1359.77085131669
"421" 1004844 234282.328735733 -3541.32892115509
"422" 1004858 0 0
"423" 1004862 126663.405 1847.56554545454
"424" 1004863 145750.968 -1000.31014285716
"425" 1004868 -1374.91071428571 7740.60107142857
"426" 1004880 0 0
"427" 1004891 20531.6884046053 -230.408391718665
"428" 1004900 -125638.532532468 29354.1187182383
"429" 1004914 84893.5382142857 13786.5305357143
"430" 1004920 35074.9276363637 3499.04577272727
"431" 1004921 0 0
"432" 1004928 24393.543 6546.036
"433" 1004934 123027.370202471 -1425.39923494564
"434" 1004937 -53993.0458928572 27935.2558928572
"435" 1004948 194274.905 10760.133
"436" 1004953 237507.90625 -1841.49225
"437" 1004956 0 0
"438" 1004957 174273.097965517 6264.55593770857
"439" 1004960 0 0
"440" 1004968 27134.3973214286 14442.6064285714
"441" 1004984 287268.609428571 8308.92969642857
"442" 1004985 33810.33375 -2817.45463235294
"443" 1004998 609656.968681319 -47678.8516813187
"444" 1005001 0 0
"445" 1005002 0 0
"446" 1005043 90443.6296478873 -1518.46779857226
"447" 1005063 149470.417073171 -592.278066411989
"448" 1005103 88832.4308181818 367.438500000002
"449" 1005125 0 0
"450" 1005161 -43849.5525 33574.995
"451" 1005164 0 0
"452" 1005179 67176.3238026316 -855.864102244982
"453" 1005200 14599.3836513158 -219.861019228161
"454" 1005225 -48153.1800000001 36114.885
"455" 1005227 106907.408099579 -1446.21188132255
"456" 1005255 39434.0933449048 -602.339265957447
"457" 1005271 131994.195576923 5464.20189560439
"458" 1005276 0 0
"459" 1005291 138635.281071429 -3410.22944805195
"460" 1005292 77062.383 7463.78222727273
"461" 1005297 60471.0518782895 -864.49927841834
"462" 1005306 50786.2836513158 -205.994321418882
"463" 1005321 0 0
"464" 1005339 0 0
"465" 1005354 -354.137323170732 37.0394137630662
"466" 1005368 40914.5044268775 -2465.76975296443
"467" 1005371 -14552.5253118393 5459.43081183932
"468" 1005373 73829.2147711269 -1460.77095263361
"469" 1005385 129672.717652174 1951.82126533112
"470" 1005416 8689.65 -543.477545454545
"471" 1005442 102262.608818182 16374.6200454545
"472" 1005444 -8655.53315217388 13125.7758521739
"473" 1005459 14085.9984672305 -422.103149048626
"474" 1005462 0 NA
"475" 1005486 276040.581426813 -3131.0472447757
"476" 1005487 68079.0357361111 -1138.62816158537
"477" 1005491 -49826.250857143 26997.1654821429
"478" 1005505 17427.0985714285 6497.43107142857
"479" 1005507 25672.0838521261 66.5394192623646
"480" 1005514 15079.9303636364 17996.2887272727
"481" 1005539 0 0
"482" 1005555 140947.216548712 -1780.69819673852
"483" 1005567 114614.964426316 -1924.12105652768
"484" 1005584 0 0
"485" 1005595 -43526.43125 19557.82725
"486" 1005627 23005.3311217105 313.986971072979
"487" 1005666 -16657.4675 20666.6565
"488" 1005670 -26297.3776102941 10143.9420220588
"489" 1005676 0 NA
"490" 1005685 25189.5850058772 -433.19632257252
"491" 1005686 310.487447368421 -4.79447378594682
"492" 1005714 123758.060101974 -1512.98307877781
"493" 1005734 94521.6942257742 -950.120554888149
"494" 1005763 356668.339358974 -10796.5198351648
"495" 1005789 246465.458035714 -13292.5617857143
"496" 1005810 1717.24302197802 -164.002450549451
"497" 1005812 45673.9020000001 17336.709
"498" 1005834 0 0
"499" 1005836 262916.916740891 -5605.13612550607
"500" 1005853 0 0
"501" 1005879 41208.3184759615 -896.970874562937
"502" 1005887 62638.9659877085 -1218.88353246555
"503" 1005899 273590.612763158 16466.2305225564
"504" 1005900 0 0
"505" 1005902 26583.459005994 -425.890554192643
"506" 1005921 91641.2606224351 -463.055610406151
"507" 1005928 160338.406648352 -2393.70379120879
"508" 1005932 136036.221428571 -24335.9357142857
"509" 1005933 6070.5 NA
"510" 1005956 -117882.811661539 30253.0051230769
"511" 1005993 81648.1028571428 18697.0966071429
"512" 1005995 183526.534523077 -5869.28375384615
"513" 1006005 0 0
"514" 1006024 0 0
"515" 1006042 66941.4373064979 -1044.660101028
"516" 1006063 6290.80306830907 -97.5646801511758
"517" 1006076 305827.727142857 11959.8975
"518" 1006088 332036.831148649 -9147.86540184922
"519" 1006091 70344.9417857143 24430.3532142857
"520" 1006093 0 0
"521" 1006102 9221.04675000002 4480.54597058823
"522" 1006131 127865.259572268 -1780.64325766088
"523" 1006171 74448.2651785715 -377.477894917583
"524" 1006181 0 0
"525" 1006189 0 0
"526" 1006191 122558.098986111 -1957.61238719512
"527" 1006199 10393.7347826087 -331.785568917669
"528" 1006234 88243.0094802633 -1306.48186428378
"529" 1006235 -1142.57925755881 770.115323348264
"530" 1006246 81829.987184432 -979.481127465608
"531" 1006259 31349.8730230263 -463.531015938687
"532" 1006298 0 0
"533" 1006302 99358.4298913044 -1466.45068402913
"534" 1006334 77632.7982921348 -1162.1388635634
"535" 1006367 0 0
"536" 1006402 -31120.74 23340.555
"537" 1006404 16921.2765789474 9259.00792105263
"538" 1006409 0 0
"539" 1006420 23261.4080357143 -1306.58678571429
"540" 1006425 0 0
"541" 1006447 71443.9447058824 10964.5134520124
"542" 1006456 0 0
"543" 1006457 0 0
"544" 1006499 0 0
"545" 1006502 0 0
"546" 1006503 0 0
"547" 1006508 137966.663262032 -5435.37513598167
"548" 1006514 -22780.7610000001 32213.6119090909
"549" 1006518 0 NA
"550" 1006521 31298.36175 8355.18494117647
"551" 1006557 0 0
"552" 1006565 8195.40942857139 15065.2443214286
"553" 1006571 0 0
"554" 1006584 0 0
"555" 1006602 123909.767556772 -1886.90512293033
"556" 1006607 0 0
"557" 1006637 0 0
"558" 1006656 17944.1635846154 -951.8032
"559" 1006700 93734.8075 2716.2315
"560" 1006701 19270.171978022 3965.17945054945
"561" 1006715 0 0
"562" 1006747 124138.891987998 -1204.79672957099
"563" 1006749 41593.815 65109.6707142857
"564" 1006761 0 0
"565" 1006767 17448.805125 11312.112375
"566" 1006801 162031.865723684 -2144.38154198318
"567" 1006802 36630.1685106383 -572.057244120941
"568" 1006813 71101.1311962134 100.492795383214
"569" 1006817 115376.504705882 -7335.18575851393
"570" 1006825 110059.721733553 -452.605216155725
"571" 1006919 -17503.4330357142 27064.6130357143
"572" 1006925 60995.908136582 -730.616309034426
"573" 1006931 9718.59825000001 -139.301304123711
"574" 1006965 0 0
"575" 1006977 166105.571520737 -507.271118951613
"576" 1006978 0 0
"577" 1007010 165073.512115385 -1978.41288461539
"578" 1007011 152568.881090214 121.606624931783
"579" 1007014 0 0
"580" 1007025 40556.0957142857 1470.53089285714
"581" 1007028 0 0
"582" 1007046 148198.794799342 -1859.0882755019
"583" 1007048 79351.9906973685 -1087.61315548698
"584" 1007053 70184.462903226 -1015.08340768703
"585" 1007054 121232.319888158 -1454.36810658573
"586" 1007055 73252.8063611111 -1098.69472154472
"587" 1007059 131508.183083987 147.670603513438
"588" 1007089 0 0
"589" 1007095 -10498.257 4857.1056
"590" 1007096 -37190.7049090908 21786.8776363636
"591" 1007101 17937.825 3268.72575
"592" 1007105 0 0
"593" 1007108 80520.2777857143 -2895.8210965251
"594" 1007115 0 0
"595" 1007117 469022.875363636 -46694.2242272727
"596" 1007122 -74578.9962857144 24377.4631607143
"597" 1007131 -217175.453901099 68829.4014725275
"598" 1007155 0 0
"599" 1007169 0 0
"600" 1007196 21719.4487105263 5320.82821804511
"601" 1007227 62361.2891911765 11970.8181617647
"602" 1007294 -154.752 99.4834285714286
"603" 1007295 0 0
"604" 1007297 0 0
"605" 1007299 21078.5769804109 -285.886479008369
"606" 1007300 106129.66045582 -1410.15415520277
"607" 1007301 94077.1871858903 -1397.00758391657
"608" 1007302 168447.680101124 135.030788986295
"609" 1007303 82151.297258427 -1067.44106062477
"610" 1007304 0 0
"611" 1007305 406587.276 -17283.8762419355
"612" 1007306 76887.3301184211 -464.258797544764
"613" 1007307 -15353.4589243422 1983.9783122287
"614" 1007308 144361.010417763 -1986.65802407759
"615" 1007309 0 0
"616" 1007310 166840.693299595 3295.5215465587
"617" 1007311 45876.3078260869 2635.3945559667
"618" 1007312 117852.311073969 2409.39295437138
"619" 1007313 38433.2574324324 4671.09791607397
"620" 1007314 128044.468955207 -1252.7415012598
"621" 1007315 49339.405015674 -790.083025122398
"622" 1007316 75086.665741573 -1140.72914816644
"623" 1007317 25266.3372161254 -378.705337835946
"624" 1007318 42278.6826217106 -631.607376865166
"625" 1007319 14044.1693482643 -216.477275895857
"626" 1007320 -36712.3727880512 4887.45475161396
"627" 1007321 -98333.7772297298 12968.3608357041
"628" 1007322 0 0
"629" 1007323 73162.2491151316 -934.803873507868
"630" 1007324 44853.3754046053 -581.951210017635
"631" 1007325 17595.7442072368 -269.190798731687
"632" 1007326 82643.978731243 -620.138790453527
"633" 1007327 72957.3629453016 -1092.87477783414
"634" 1007328 0 0
"635" 1007329 0 0
"636" 1007330 80883.6970555556 -1001.59198780488
"637" 1007331 207040.084918244 -3047.28799387466
"638" 1007332 95575.4021544716 882.222332745617
"639" 1007333 157697.420291667 -1961.24740548781
"640" 1007334 137225.53845983 -2544.87704361348
"641" 1007335 -26218.14 4602.62679563125
"642" 1007336 128875.783471528 -2194.01338876313
"643" 1007337 43572.2467886179 -760.234236458027
"644" 1007338 161928.697130895 -2612.27374927704
"645" 1007339 28275.6606497593 -515.062914624213
"646" 1007340 60506.3544542254 -81.8295227185033
"647" 1007341 192228.450770548 -3275.07993382081
"648" 1007342 144993.101581462 -1801.84587318712
"649" 1007343 0 0
"650" 1007344 -6888.78117434211 234.011805785404
"651" 1007345 115991.426149623 -1395.94866138063
"652" 1007346 36563.4574568869 -559.130410834266
"653" 1007347 142792.487052632 -1756.84764219344
"654" 1007348 149747.301960035 -2323.25986020738
"655" 1007349 272205.732162162 -2238.34935277383
"656" 1007350 116505.172740943 -227.504109574636
"657" 1007351 168735.91805938 -315.234790472815
"658" 1007352 3631.44401598401 -68.272974114493
"659" 1007353 -10776.0683571429 3242.06556507719
"660" 1007354 26232.3390902873 -446.80461153828
"661" 1007355 155383.160445378 -2398.81070666406
"662" 1007356 0 0
"663" 1007357 200469.438284211 -3202.10567655503
"664" 1007358 38213.3810569664 -49.3953671567388
"665" 1007359 -21716.4235361844 3143.38171595225
"666" 1007360 198166.531251753 985.850450374504
"667" 1007361 166829.593764045 -949.146027781207
"668" 1007362 95681.2199901316 -522.580660234672
"669" 1007363 0 0
"670" 1007364 112662.051236842 -357.951623440044
"671" 1007365 48195.0429488079 -544.965337277312
"672" 1007366 142643.853544881 -1624.89632456507
"673" 1007367 189968.483713816 -2298.69338842919
"674" 1007368 73845.523924342 1327.34483210119
"675" 1007369 86624.8131243243 -1059.97919274538
"676" 1007370 53146.0659859155 -952.691294134671
"677" 1007371 147213.363745342 -2703.43261858105
"678" 1007372 162351.517323944 -2623.71704997106
"679" 1007373 56688.638310559 -529.803928265244
"680" 1007374 37232.065011236 123.079626126682
